from_name,to_name,start_year,end_year,domain,notes
injflg6,acme_nature_of_injury_flag_6,2010,2015,no_crosswalk_needed,
injflg7,acme_nature_of_injury_flag_7,2010,2015,no_crosswalk_needed,
injflg8,acme_nature_of_injury_flag_8,2010,2015,no_crosswalk_needed,
injflg9,acme_nature_of_injury_flag_9,2010,2015,no_crosswalk_needed,
injflg10,acme_nature_of_injury_flag_10,2010,2015,no_crosswalk_needed,
injflg11,acme_nature_of_injury_flag_11,2010,2015,no_crosswalk_needed,
injflg12,acme_nature_of_injury_flag_12,2010,2015,no_crosswalk_needed,
injflg13,acme_nature_of_injury_flag_13,2010,2015,no_crosswalk_needed,
injflg14,acme_nature_of_injury_flag_14,2010,2015,no_crosswalk_needed,
injflg15,acme_nature_of_injury_flag_15,2010,2015,no_crosswalk_needed,
injflg16,acme_nature_of_injury_flag_16,2010,2015,no_crosswalk_needed,
injflg17,acme_nature_of_injury_flag_17,2010,2015,no_crosswalk_needed,
injflg18,acme_nature_of_injury_flag_18,2010,2015,no_crosswalk_needed,
injflg19,acme_nature_of_injury_flag_19,2010,2015,no_crosswalk_needed,
injflg20,acme_nature_of_injury_flag_20,2010,2015,no_crosswalk_needed,
inj_date,date_of_injury,2010,2015,not_categorical,
inj_mo,date_of_injury_month,2010,2015,not_categorical,
inj_da,date_of_injury_day,2010,2015,not_categorical,
inj_yr,date_of_injury_year,2010,2015,not_categorical,
inj_hour,time_of_injury_hour,2010,2015,not_categorical,
inj_min,time_of_injury_minutes,2010,2015,not_categorical,
zipinjoc,injury_zip_code,2010,2015,not_categorical,
rcvdt,date_received,2010,2015,not_categorical,
cntyfile,local_file_number,2010,2015,not_categorical,
