recode,variable_name,from_system,from_code,from_label,to_system,to_code,to_label,notes,review_flag,domain
FALSE,residence_length_type,BEDROCK,2,Months,WHALES,M,Months,NA,FALSE,geography
FALSE,residence_length_type,BEDROCK,3,Weeks,WHALES,W,Weeks,"No Crosswalk value supplied  for Weeks… Might have to convert Residence Length from Weeks to Days when residence_length_type == ""Weeks""",TRUE,geography
FALSE,residence_length_type,BEDROCK,4,Days,WHALES,D,Days,NA,FALSE,geography
FALSE,residence_length_type,BEDROCK,5,Hours,WHALES,H,Hours,NA,FALSE,geography
FALSE,residence_length_type,BEDROCK,6,Minutes,WHALES,N,Minutes,NA,FALSE,geography
FALSE,residence_length_type,BEDROCK,9,Unknown/Not Stated,WHALES,U,Unknown,NA,FALSE,geography
FALSE,sex,BEDROCK,M,Male,WHALES,M,Male,NA,FALSE,demographics
FALSE,sex,BEDROCK,F,Female,WHALES,F,Female,NA,FALSE,demographics
FALSE,sex,BEDROCK,U,Undetermined,WHALES,U,Undetermined,NA,FALSE,demographics
FALSE,tobacco,BEDROCK,1,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,tobacco,BEDROCK,2,No,WHALES,N,No,NA,FALSE,demographics
FALSE,tobacco,BEDROCK,7,Probably,WHALES,P,Probably,NA,FALSE,demographics
TRUE,tobacco,BEDROCK,8,Not Reported,WHALES,U,Unknown,In STATA code they keep as is… consider converting to Unknown,TRUE,demographics
FALSE,tobacco,BEDROCK,9,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
