recode,variable_name,from_system,from_code,from_label,to_system,to_code,to_label,notes,review_flag,domain
FALSE,education_8_or_less,BEDROCK,0,No Education,WHALES,0,No Education or less than 1st grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,1,Completed 1st Grade,WHALES,1,Completed 1st Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,2,Completed 2nd Grade,WHALES,2,Completed 2nd Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,3,Completed 3rd Grade,WHALES,3,Completed 3rd Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,4,Completed 4th Grade,WHALES,4,Completed 4th Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,5,Completed 5th Grade,WHALES,5,Completed 5th Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,6,Completed 6th Grade,WHALES,6,Completed 6th Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,7,Completed 7th Grade,WHALES,7,Completed 7th Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,8,Completed 8th Grade,WHALES,8,Completed 8th Grade,NA,FALSE,demographics
FALSE,education_8_or_less,BEDROCK,9,Unknown,WHALES,9,Unknown,NA,FALSE,demographics
FALSE,hispanic_cuban,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,hispanic_cuban,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,hispanic_cuban,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,hispanic_mexican,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,hispanic_mexican,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,hispanic_mexican,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,hispanic_nchs_bridge,BEDROCK,0,Non-Hispanic,WHALES,0,Non-Hispanic,NA,FALSE,demographics
FALSE,hispanic_nchs_bridge,BEDROCK,1,Mexican,WHALES,1,Mexican,NA,FALSE,demographics
FALSE,hispanic_nchs_bridge,BEDROCK,2,Puerto Rican,WHALES,2,Puerto Rican,NA,FALSE,demographics
FALSE,hispanic_nchs_bridge,BEDROCK,3,Cuban,WHALES,3,Cuban,NA,FALSE,demographics
FALSE,hispanic_nchs_bridge,BEDROCK,4,Central or South American,WHALES,4,Central or South American,NA,FALSE,demographics
FALSE,hispanic_nchs_bridge,BEDROCK,5,Other and Unknown Hispanic,WHALES,5,Other and Unknown Hispanic,NA,FALSE,demographics
FALSE,hispanic_nchs_bridge,BEDROCK,9,Unknown/Not Stated,WHALES,9,Unknown/Not Stated,NA,FALSE,demographics
FALSE,hispanic_no,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,hispanic_no,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,hispanic_no,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,hispanic_other,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,hispanic_other,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,hispanic_other,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,hispanic_puerto_rican,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,hispanic_puerto_rican,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,hispanic_puerto_rican,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,injury_acme_place,BEDROCK,0,Home,WHALES,0,Home,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,1,Residential Institution,WHALES,1,Residential Institution,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,2,"School, Other Institution and Public Administrative Area",WHALES,2,"School, Other Institution and Public Administrative Area",NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,3,Sports and Athletics Area,WHALES,3,Sports and Athletics Area,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,4,Street and Highway,WHALES,4,Street and Highway,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,5,Trade and Service Area,WHALES,5,Trade and Service Area,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,6,Industrial and Construction Areas,WHALES,6,Industrial and Construction Areas,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,7,Farm,WHALES,7,Farm,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,8,Other Specified Places,WHALES,8,Other Specified Places,NA,FALSE,injury
FALSE,injury_acme_place,BEDROCK,9,Unspecified Place,WHALES,9,Unspecified Place,NA,FALSE,injury
TRUE,injury_at_work,BEDROCK,0,Not Applicable,WHALES,U,Unknown,No mapping available for this one... Could generate a different value like 'X' or NA instead of Unknown,TRUE,injury
TRUE,injury_at_work,BEDROCK,1,Yes,WHALES,Y,Yes,NA,FALSE,injury
TRUE,injury_at_work,BEDROCK,2,No,WHALES,N,No,NA,FALSE,injury
TRUE,injury_at_work,BEDROCK,9,Unknown,WHALES,U,Unknown,NA,FALSE,injury
TRUE,injury_transportation,BEDROCK,0,NA,WHALES,Unknown,Unknown,0 value is in the Bedrock data but not in the Data Dictionary…,TRUE,injury
TRUE,injury_transportation,BEDROCK,1,Driver,WHALES,DRIVER/OPERATOR,NA,NA,FALSE,injury
TRUE,injury_transportation,BEDROCK,2,Passenger,WHALES,PASSENGER,NA,NA,FALSE,injury
TRUE,injury_transportation,BEDROCK,3,Pedestrian,WHALES,PEDESTRIAN,NA,NA,FALSE,injury
TRUE,injury_transportation,BEDROCK,4,Other,WHALES,OTHER,NA,NA,FALSE,injury
TRUE,injury_transportation,BEDROCK,8,N/A,WHALES,NOT APPLICABLE,NA,NA,TRUE,injury
TRUE,injury_transportation,BEDROCK,9,Unknown,WHALES,UNKNOWN,NA,"No explicit ""Unknown"" value in Death Statistical File Data Dictionary… added here to match explicit Unknowns captured in other variables throughout WHALES",TRUE,injury
TRUE,manner,BEDROCK,0,NA,WHALES,U,Unknown,0 value is in the Bedrock data but not in the Data Dictionary…,TRUE,injury
TRUE,manner,BEDROCK,1,Natural,WHALES,N,Natural,NA,FALSE,injury
TRUE,manner,BEDROCK,2,Accident,WHALES,A,Accident,NA,FALSE,injury
TRUE,manner,BEDROCK,3,Suicide,WHALES,S,Suicide,NA,FALSE,injury
TRUE,manner,BEDROCK,4,Homicide,WHALES,H,Homicide,NA,FALSE,injury
TRUE,manner,BEDROCK,5,Undetermined,WHALES,C,Undetermined,NA,FALSE,injury
TRUE,manner,BEDROCK,6,Pending,WHALES,P,Pending,NA,FALSE,injury
TRUE,marital_status,BEDROCK,1,Never Married,WHALES,S,Never Married,NA,FALSE,demographics
TRUE,marital_status,BEDROCK,2,Married,WHALES,M,Married,NA,FALSE,demographics
TRUE,marital_status,BEDROCK,3,Divorced,WHALES,D,Divorced,NA,FALSE,demographics
TRUE,marital_status,BEDROCK,4,Widowed,WHALES,W,Widowed,NA,FALSE,demographics
TRUE,marital_status,BEDROCK,5,Separated,WHALES,A,Married but Separated,NA,FALSE,demographics
TRUE,marital_status,BEDROCK,6,Domestic Partner,WHALES,P,Domestic Partner,NA,FALSE,demographics
TRUE,marital_status,BEDROCK,9,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
TRUE,me_coroner_referred,BEDROCK,1,Yes,WHALES,Y,Yes,NA,FALSE,incident_information
TRUE,me_coroner_referred,BEDROCK,2,No,WHALES,N,No,NA,FALSE,incident_information
TRUE,me_coroner_referred,BEDROCK,9,Unknown/Not Stated,WHALES,U,Unknown,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,0,Home,WHALES,0,Home,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,1,Other,WHALES,1,Other Place,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,2,Dead on Arrival,WHALES,2,In Transport,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,3,Emergency Room,WHALES,3,Emergency Room,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,4,Hospital Inpatient,WHALES,4,Hospital (Inpatient),NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,5,Nursing Home,WHALES,5,Nursing Home/Long Term Care,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,6,Hospital,WHALES,6,Hospital,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,7,Hospice,WHALES,7,Hospice Facility,NA,FALSE,incident_information
FALSE,place_of_death_type,BEDROCK,9,Unknown,WHALES,9,Unknown,NA,FALSE,incident_information
TRUE,pregnancy,BEDROCK,0,Pregnancy Status Missing,WHALES,9,Unknown,No Crosswalk defined in materials,TRUE,demographics
FALSE,pregnancy,BEDROCK,1,Not Pregnant Within 1 Year,WHALES,1,Not Pregnant Within the Past Year,NA,FALSE,demographics
FALSE,pregnancy,BEDROCK,2,Pregnant at Death,WHALES,2,Pregnant at the Time of Death,NA,FALSE,demographics
FALSE,pregnancy,BEDROCK,3,"Not Pregnant, but Within 42 Days",WHALES,3,"Not Pregnant, but Pregnant Within 42 Days of Death",NA,FALSE,demographics
FALSE,pregnancy,BEDROCK,4,"Not Pregnant, but Within 43 Days to 1 Year",WHALES,4,"Not Pregnant, but Pregnant Within 43 Days to 1 Year Before Death",NA,FALSE,demographics
FALSE,pregnancy,BEDROCK,8,Not Applicable,WHALES,8,No Response,NA,FALSE,demographics
FALSE,pregnancy,BEDROCK,9,Unknown,WHALES,9,Unknown,NA,FALSE,demographics
FALSE,race_amer_indian_alaskan,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
FALSE,race_amer_indian_alaskan,BEDROCK,N,No,WHALES,N,No,NA,FALSE,demographics
FALSE,race_amer_indian_alaskan,BEDROCK,U,Unknown,WHALES,U,Unknown,NA,FALSE,demographics
FALSE,race_asian_indian,BEDROCK,Y,Yes,WHALES,Y,Yes,NA,FALSE,demographics
