file_year,variable,from_code,from_label,to_code,to_label,notes,review_flag
2012,age_type,0,Years 1 to 99,1,Years,NA,FALSE
2012,age_type,6,,9,Unknown,NA,TRUE
2012,armed_forces,1,Yes,Y,Yes,NA,FALSE
2012,armed_forces,2,No,N,No,NA,FALSE
2012,armed_forces,9,Unknown/Not Stated,U,Unknown,NA,FALSE
2012,autopsy,0,NA,U,Unknown,No mention of this code in the Data Dictionary…,TRUE
2012,autopsy,1,Yes,Y,Yes,NA,FALSE
2012,autopsy,2,No,N,No,NA,FALSE
2012,autopsy,9,Unknown/Not Reported,U,Unknown,NA,FALSE
2012,certifier_designation,01,"Physician, MD",1,Physician,NA,FALSE
2012,certifier_designation,02,Coroner/Pathologist,2,Coroner/ME,NA,FALSE
2012,certifier_designation,03,"Osteopath, DO",3,DO,NA,FALSE
2012,certifier_designation,06,Physician's Assistant,6,Physician Assistant,NA,FALSE
2012,certifier_designation,07,Nurse Practitioner,7,ARNP,NA,FALSE
2012,certifier_designation,09,Other,9,Unknown,NA,FALSE
2012,certifier_designation,99,NA,9,Unknown,Value not included in Data Dictionary,TRUE
2012,disposition,1,Burial,B,Burial,NA,FALSE
2012,disposition,2,Cremation,C,Cremation,NA,FALSE
2012,disposition,3,Removal from State,R,Removal from State,NA,FALSE
2012,disposition,4,Donation (medical research),D,Donation/Medical Research,NA,FALSE
2012,disposition,5,Body Not Recovered,N,Body Not Recovered,NA,FALSE
2012,disposition,6,Entombment,E,Entombment,NA,FALSE
2012,disposition,7,Other,O,Other,NA,FALSE
2012,disposition,9,Unknown,U,Unknown,NA,FALSE
2012,education,001,8th Grade or Less,1,8th Grade or Less,00 padding in BEDROCK 2012,FALSE
2012,education,002,"9th-12th Grade, No Diploma",2,"No Diploma, 9th-12th Grade",00 padding in BEDROCK 2012,FALSE
2012,education,003,High School Graduate or GED,3,High School Graduate or GED Completed,00 padding in BEDROCK 2012,FALSE
2012,education,004,"Some College, No Degree",4,Some College Credit but No Degree,00 padding in BEDROCK 2012,FALSE
2012,education,005,Associate Degree,5,Associate Degree,00 padding in BEDROCK 2012,FALSE
2012,education,006,Bachelor's Degree,6,Bachelors Degree,00 padding in BEDROCK 2012,FALSE
2012,education,007,Master's Degree,7,Masters Degree,00 padding in BEDROCK 2012,FALSE
2012,education,008,Doctorate or Professional Degree,8,Doctorate or Professional Degree,00 padding in BEDROCK 2012,FALSE
2012,education,009,Unknown,9,Unknown,00 padding in BEDROCK 2012,FALSE
2012,education,099,Unknown,9,Unknown,0 padding in BEDROCK 2012,TRUE
2012,injury_at_work,0,Not Applicable,U,Unknown,No mapping available for this one... Could generate a different value like 'X' or NA instead of Unknown,TRUE
2012,injury_at_work,1,Yes,Y,Yes,NA,FALSE
2012,injury_at_work,2,No,N,No,NA,FALSE
2012,injury_at_work,9,Unknown,U,Unknown,NA,FALSE
2012,manner,0,NA,U,Unknown,0 value is in the Bedrock data but not in the Data Dictionary…,TRUE
2012,manner,1,Natural,N,Natural,NA,FALSE
2012,manner,2,Accident,A,Accident,NA,FALSE
2012,manner,3,Suicide,S,Suicide,NA,FALSE
2012,manner,4,Homicide,H,Homicide,NA,FALSE
2012,manner,5,Undetermined,C,Undetermined,NA,FALSE
2012,manner,6,Pending,P,Pending,NA,FALSE
2012,marital_status,1,Never Married,S,Never Married,NA,FALSE
2012,marital_status,2,Married,M,Married,NA,FALSE
2012,marital_status,3,Divorced,D,Divorced,NA,FALSE
2012,marital_status,4,Widowed,W,Widowed,NA,FALSE
2012,marital_status,5,Separated,A,Married but Separated,NA,FALSE
2012,marital_status,6,Domestic Partner,P,Domestic Partner,NA,FALSE
2012,marital_status,9,Unknown,U,Unknown,NA,FALSE
2012,me_coroner_referred,1,Yes,Y,Yes,NA,FALSE
2012,me_coroner_referred,2,No,N,No,NA,FALSE
2012,me_coroner_referred,9,Unknown/Not Stated,U,Unknown,NA,FALSE
2012,residence_length_type,0,Years 1 to 99,Y,Years,NA,FALSE
2012,residence_length_type,1,Years 100 or more,Y,Years,NA,FALSE
2012,residence_length_type,2,Months,M,Months,NA,FALSE
2012,residence_length_type,4,Days,D,Days,NA,FALSE
2012,residence_length_type,5,Hours,H,Hours,NA,FALSE
2012,residence_length_type,6,Minutes,N,Minutes,NA,FALSE
2012,residence_length_type,9,Unknown/Not Stated,U,Unknown,NA,FALSE
2012,tobacco,1,Yes,Y,Yes,NA,FALSE
2012,tobacco,2,No,N,No,NA,FALSE
2012,tobacco,7,Probably,P,Probably,NA,FALSE
2012,tobacco,9,Unknown,U,Unknown,NA,FALSE
