code,label,notes,review_flag
558,PHILIPPINES,,FALSE
559,POLAND,,FALSE
759,POLYNESIA,,FALSE
560,PORTUGAL,,FALSE
782,PRUSSIA,,FALSE
644,QATAR,,FALSE
666,REPUBLIC OF GEORGIA,,FALSE
704,REPUBLIC OF THE CONGO,,FALSE
788,REUNION,,FALSE
562,RHODESIA,,FALSE
596,ROMANIA,,FALSE
592,RUSSIA,,FALSE
719,RWANDA,,FALSE
778,SAINT HELENA,,FALSE
751,SAINT KITTS AND NEVIS,,FALSE
670,SAINT LUCIA,,FALSE
789,SAINT MARTIN,,FALSE
646,SAINT VINCENT AND GRENADINES,,FALSE
578,SAMOA,,FALSE
768,SAN MARINO,,FALSE
747,SAO TOME AND PRINCIPE,,FALSE
606,SAUDI ARABIA,,FALSE
564,SCOTLAND,,FALSE
669,SENEGAL,,FALSE
706,SERBIA,,FALSE
690,SEYCHELLES,,FALSE
688,SIERRA LEONE,,FALSE
616,SINGAPORE,,FALSE
790,SINT MAARTEN,,FALSE
679,SLOVAKIA,,FALSE
681,SLOVENIA,,FALSE
710,SOLOMON ISLANDS,,FALSE
609,SOMALIA,,FALSE
565,SOUTH AFRICA,,FALSE
566,SOUTH AMERICA,,FALSE
791,SOUTH SUDAN,,FALSE
795,SOUTH VIETNAM,,FALSE
567,SPAIN,,FALSE
514,SRI LANKA,,FALSE
668,SUDAN,,FALSE
702,SURINAME,,FALSE
697,SWAZILAND,,FALSE
568,SWEDEN,,FALSE
603,SWITZERLAND,,FALSE
630,SYRIA,,FALSE
717,TAHITI,,FALSE
569,TAIWAN,,FALSE
718,TAJIKISTAN,,FALSE
740,TANGANYIKA,,FALSE
629,TANZANIA,,FALSE
570,THAILAND,,FALSE
659,THE GAMBIA,,FALSE
674,TIBET,,FALSE
793,TIMOR,,FALSE
698,TOGO,,FALSE
796,TOKELAU,,FALSE
571,TONGA,,FALSE
593,TRINIDAD AND TOBAGO,,FALSE
713,TRUST TERRITORIES,,FALSE
611,TUNISIA,,FALSE
572,TURKEY,,FALSE
748,TURKMENISTAN,,FALSE
770,TURKS AND CAICOS ISLANDS,,FALSE
756,TUVALU,,FALSE
613,U.S.S.R.,,FALSE
622,UGANDA,,FALSE
612,UKRAINE,,FALSE
667,UNITED ARAB EMIRATES,,FALSE
523,UNITED KINGDOM,,FALSE
775,UNITED STATES,,FALSE
620,URUGUAY,,FALSE
684,UZBEKISTAN,,FALSE
707,VANUATU,,FALSE
767,VATICAN CITY,,FALSE
573,VENEZUELA,,FALSE
574,VIETNAM,,FALSE
750,WAKE ISLAND,,FALSE
587,WALES,,FALSE
650,WEST AFRICA,,FALSE
774,WEST BANK,,FALSE
576,WEST GERMANY,,FALSE
607,WEST INDIES,,FALSE
736,WESTERN SAHARA,,FALSE
658,YAP,,FALSE
624,YEMEN,,FALSE
579,YUGOSLAVIA,,FALSE
580,ZAMBIA,,FALSE
628,ZIMBABWE,,FALSE
