start_year,end_year,code,label,city,state,notes,review_flag
1980,2026,508,Evergreen Washelli  Funeral Home,Seattle,WA,,TRUE
1980,2026,509,Seattle Care Center,Seattle,WA,"508 code is duplicated. There is a 509 in the data sets, so its possible Seattle Care Center should be 509. Replacing this code value to 509 for the time being",TRUE
1980,2026,512,Edwards Memorial Center,University Place,WA,,FALSE
1980,2026,513,Lifetime Celebrations by Washelli,Bothell,WA,,FALSE
1980,2026,514,Elemental Cremation & Burial - Seattle,Seattle,WA,,FALSE
1980,2026,515,Elemental Cremation & Burial - Bellevue,Bellevue,WA,,FALSE
1980,2026,516,Emmick Family Funeral Services,Seattle,WA,,FALSE
1980,2026,602,Fern Hill Funeral Home,Aberdeen,WA,,FALSE
1980,2026,603,Fir Lane Funeral Home,Spanaway,WA,,FALSE
1980,2026,604,Fir Lawn Funeral Chapel,Toledo,WA,,FALSE
1980,2026,605,Flintoft's Funeral Home and Crematory,Issaquah,WA,,FALSE
1980,2026,606,Forest Funeral Home,Olympia,WA,,FALSE
1980,2026,607,Forest Lawn Funeral Home,Seattle,WA,,FALSE
1980,2026,610,Forest Funeral Home,Shelton,WA,,FALSE
1980,2026,612,First Call Plus of Washington,Kent,WA,,FALSE
1980,2026,613,Funeral Alternatives of Washington - Tumwater,Tumwater,WA,,FALSE
1980,2026,614,Curnow Funeral Home & Cremation Service,Sumner,WA,,FALSE
1980,2026,615,Funeral Alternatives of Snohomish County,Marysville,WA,,FALSE
1980,2026,617,Fleig-Threlkeld Funeral & Cremation Services,Tacoma,WA,,FALSE
1980,2026,618,Funeral & Cremation Care - Bellevue,Bellevue,WA,,FALSE
1980,2026,619,Funeral & Cremation Care - Kennewick,Kennewick,WA,,FALSE
1980,2026,620,Funeral Alternatives of Washington - Lacey,Lacey,WA,,FALSE
1980,2026,621,Simple Cremation - Bellingham,Bellingham,WA,,FALSE
1980,2026,624,Funeral & Cremation Care - Vancouver,Vancouver,WA,,FALSE
1980,2026,625,Funeral Alternatives of Washington - Centralia,Centralia,WA,,FALSE
1980,2026,701,Gaffney Funeral Home,Tacoma,WA,,FALSE
1980,2026,702,Gardner Funeral Home Inc,White Salmon,WA,,FALSE
