variable,data_type,code,label,notes,flag
race_summary_code,integer,10,White,,
race_summary_code,integer,11,Black,,
race_summary_code,integer,12,American Indian/Alaska Native,,
race_summary_code,integer,13,Asian,,
race_summary_code,integer,14,Native Hawaiian or Pacific Islander,,
race_summary_code,integer,20,White and Black,,
race_summary_code,integer,21,White and American Indian/Alaska Native,,
race_summary_code,integer,22,White and Asian,,
race_summary_code,integer,23,White and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,24,Black and American Indian/Alaska Native,,
race_summary_code,integer,25,Black and Asian,,
race_summary_code,integer,26,Black and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,27,American Indian/Alaska Native and Asian,,
race_summary_code,integer,28,American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,29,Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,30,White and Black and American Indian/Alaska Native,,
race_summary_code,integer,31,White and Black and Asian,,
race_summary_code,integer,32,White and Black and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,33,White and American Indian/Alaska Native and Asian,,
race_summary_code,integer,34,White and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,35,White and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,36,Black and American Indian/Alaska Native and Asian,,
race_summary_code,integer,37,Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,38,Black and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,39,American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,40,White and Black and American Indian/Alaska Native and Asian,,
race_summary_code,integer,41,White and Black and American Indian/Alaska Native and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,42,White and Black and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,43,White and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,44,Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,50,White and Black and American Indian/Alaska Native and Asian and Native Hawaiian or Pacific Islander,,
race_summary_code,integer,99,Unknown,,
race_vietnamese,character,Y,Yes,,
race_vietnamese,character,N,No,,
race_vietnamese,character,U,Unknown,,
race_white,character,Y,Yes,,
race_white,character,N,No,,
race_white,character,U,Unknown,,
residence_city_limits,character,Y,Yes,,
residence_city_limits,character,N,No,,
residence_city_limits,character,U,Unknown,,
residence_length_type,character,Y,Years,,
residence_length_type,character,M,Months,,
residence_length_type,character,W,Weeks,,
residence_length_type,character,D,Days,,
residence_length_type,character,H,Hours,,
residence_length_type,character,N,Minutes,,
residence_length_type,character,U,Unknown,,
sex,character,M,Male,,
sex,character,F,Female,,
sex,character,U,Undetermined,,
sex,character,X,Other,"Not in data dictionary, first appears in 2021",TRUE
tobacco,character,Y,Yes,,
tobacco,character,N,No,,
tobacco,character,P,Probably,,
tobacco,character,U,Unknown,,
