code,label,city,notes,review_flag
116,Rosewood Cemetery,Fairfield,,
117,Roy Cemetery,Roy,,
118,Satsop Cemetery,Satsop,,
119,Seabold Cemetery,Bainbridge Island,,
120,Sequim View Cemetery,Sequim,,
121,Sharon Cemetery,Oakville,,
122,Shelton Memorial Park,Shelton,,
123,South Pines Cemetery,Spokane Valley,,
124,Spanaway Cemetery,Spanaway,,
125,Fairmount Memorial Park,Spokane,,
125,Spokane Memorial Garden Cemetery,Spokane,,
126,Spring Canyon Cemetery,Grand Coulee,,
127,Steilacoom Masonic Cemetery,Tacoma,,
128,Suise Creek Cemetery,Renton,,
129,Sunnyside Cemetery,Sunnyside,,
130,Sunset Hills Memorial Park,Bellevue,,
131,Sunset Lane Cemetery,Port Orchard,,
132,Sunset Memorial Gardens,Richland,,
132,Sunset Memorial Gardens,Richland,,
134,Tahlequah Memorial Park,Sultan,,
135,Eagle Cliff Cemetery,Curlew,,
136,Valley View Memorial Park,Soap Lake,,
137,Vineland Cemetery,Clarkston,,
138,Evergreen Washelli Cemetery,Seattle,,
138,Evergreen Washelli Memorial Park,Seattle,,
138,Washelli Cemetery,Seattle,,
139,Washington Memorial Park,Seatac,,
140,Weber Cemetery,Vancouver,,
141,Wenas Cemetery,Selah,,
142,Outlook Cemetery,Sunnyside,,
143,Wilson Bridge Cemetery,Vancouver,,
144,Woodlawn Cemetery,Snohomish,,
145,Woodlawn Gardens,Lacey,,
145,Woodlawn Cemetery,Lacey,,
146,Tahoma National Cemetery,Kent,,
146,Tahoma National Cemetery,,,
147,Washington Soldiers' Cemetery,Orting,,
148,Woodbine Cemetery,Puyallup,,
149,Getsemone Cemetery,Federal Way,,
149,Gethsemane Cemetery,Federal Way,,
149,Gethsemane,Federal Way,,
150,Sumner City Cemetery,Sumner,,
151,Enumclaw Evergreen Memorial Park,Enumclaw,,
151,Evergreen Memorial Park,Enumclaw,,
152,Buckley City Cemetery,Buckley,,
153,Holy Cross Cemetery,Spokane,,
153,Holy Cross Cemetery,Spokane,,
154,Woodlawn Cemetery,Spokane Valley,,
155,Cromwell Cemetery,Gig Harbor,,
156,Mountain View Cemetery,Auburn,,
156,Mt. View Cemetery,Auburn,,
157,Orting Cemetery,Orting,,
158,Calvary Catholic Cemetery,Seattle,,
158,Cavalry Cemetery,Seattle,,
159,Holyrood Catholic Cemetery,Shoreline,,
159,Holyrood Cemetery,Shoreline,,
159,Holyrood Cemetery,Shoreline,,
160,St. Patrick Cemetery,Kent,,
160,St Patricks Cemetery,Kent,,
161,Saltese Cemetery,Greenacres,,
162,Cushman Cemetery,Tacoma,,
163,Tacoma Cemetery,Tacoma,,
163,Old Tacoma Cemetery,Tacoma,,
164,Rosedale Cemetery,Gig Harbor,,
165,Vaughn Bay Cemetery,Vaughn Bay,,
166,Mt View Cemetery,Connell,,
166,Connell Cemetery,Connell,,
167,Wilkeson Catholic Cemetery,Wilkeson,,
168,Rockford Cemetery,Rockford,,
169,City View Cemetery,Pasco,,
169,City View Cemetery,Pasco,,
169,City View Cemetery,Pasco,,
170,Resthaven Cemetery,Richland,,
171,Trinity Lutheran Cemetery,Tacoma,,
172,Bethany Lutheran Cemetery,Spanaway,,
173,Holy Rosary Cemetery,Pomeroy,,
174,Old Spanaway Cemetery,Spanaway,,
175,National Cremation Society,Tukwila,,
176,Home Of Peace,Lakewood,,
176,Home Of Peace Cemetery,Lakewood,,
177,Anderson Island Cemetery,Anderson Island,,
178,St Joseph'S Cemetery,Spokane,,
179,Mountain View Cemetery,East Wenatchee,,
180,Newport Cemetery,Newport,,
181,Sunnyside Cemetery,Coupeville,,
182,Mills And Mills Memorial Park,Tumwater,,
183,Jump Off Joe Cemetery,Jump Off Joe,,
184,Pines Cemetery,Spokane Valley,,
185,Vashon Cemetery,Vashon,,
186,Sunset Memorial Gardens,Chehalis,,
187,Mt Nebo Cemetery,Spokane,,
188,Spangle Cemetery,Spangle,,
189,Moran Prairie Cemetery,Spokane,,
190,Royal Memorial Gardens,Royal City,,
191,Calvary Cemetery,Yakima,,
191,Calvary Cemetery,Yakima,,
192,Sunset Memorial Park,Hoquiam,,
193,Chewelah City Cemetery,Chewelah,,
194,Chewelah Memorial Cemetery,Chewelah,,
195,Mount Saint Michael Cemetery,Spokane,,
195,Mt. St. Michaels Cemetery,Spokane,,
196,Mondovi Cemetery,Mondovi,,
197,Novelty Hill Cemetery,Duvall,,
198,Terrace Heights Memorial Park,Yakima,,
199,St. John Cemetery,St. John,,
200,West Hills Memorial Park,Yakima,,
201,Mccleary Cemetery,Mccleary,,
202,Washington Lawn Cemetery,Centralia,,
203,Trout Lake Cemetery,Trout Lake,,
204,Walton Family Cemetery,Omak,,
205,Mabton Cemetery,Mabton,,
206,Mineral Cemetery,Mineral,,
207,Oakesdale Cemetery,Oakesdale,,
208,Peone Cemetery,Mead,,
209,Floral Hills Cemetery,Lynnwood,,
210,Kalispel Cemetery,Usk,,
211,Packwood Cemetery,Dyer,,
212,Harstine Island Cemetery,Harstine Island,,
213,Medical Lake Cemetery,Medical Lake,,
214,Maccabee Cemetery,Sprague,,
215,Quincy Valley Cemetery,Quincy,,
216,Bayview Cemetery,Bellingham,,
217,Eatonville Cemetery,Eatonville,,
218,Evergreen Cemetery,Freeman,,
219,Wenatchee City Cemetery,Wenatchee,,
219,Wenatchee City Cemetery,Wenatchee,,
220,Carbonado City Cemetery,Carbonado,,
221,Reardan Cemetery,Reardan,,
222,Edwall Cemetery,Edwall,,
223,Pomeroy City Cemetery,Pomeroy,,
224,Tahoma Cemetery,Yakima,,
225,Sunset Memorial Gardens,Warden,,
226,Wayside Cemetery,Colbert,,
227,Memorial Gardens Cemetery,Roslyn,,
228,Lacrosse Cemetery,Lacrosse,,
229,Grandview Cemetery,Grandview,,
230,Marshall Cemetery,Marshall,,
231,Lakebay Cemetery,Lakebay,,
232,Puyallup Tribal Cemetery,Tacoma,,
233,City Of Zillah Cemetery,Zillah,,
233,Zillah Cemetery,Zillah,,
233,Zillah City Cemetery,Zillah,,
234,Little Nespelem Cemetery,Nespelem,,
235,Nespelem Community Cemetery,Nespelem,,
235,Nespelem City Cemetery,Nespelem,,
236,Reservation Community Memorial Park,Wapato,,
237,Rainier Cemetery,Eatonville,,
238,Latah Evergreen Cemetery,Latah,,
239,Fraola Cemetery,Olalla,,
240,Loon Lake Cemetery,Loon Lake,,
241,Mountain View Cemetery,Walla Walla,,
241,Mt. View,Walla Walla,,
241,Mt. View Cemetery,Walla Walla,,
242,Black Diamond Cemetery,Black Diamond,,
243,Arlington Cemetery,Arlington,,
244,St Mary'S Catholic Church,Ridgefield,,
245,Shoestring Cemetery,Onalaska,,
246,Pease Cemetery,Cusick,,
247,Mt Hope Cemetery,Rockford,,
248,Greenwood Park Cemetery,Hunters,,
249,Doss Cemetery,Mossyrock,,
250,Eltopia Cemetery,Eltopia,,
251,Forest Grove Cemetery,Tenino,,
252,Yelm Cemetery,Yelm,,
253,Meadowview Cemetery,Castle Rock,,
254,Elmwood Cemetery,Toppenish,,
255,Union Cemetery,Sedro Woolley,,
256,Fox Island Cemetery,Fox Island,,
257,Calvary Cemetery,Tumwater,,
258,Moses Lake Cemetery,Moses Lake,,
259,Skokomish Cemetery,Skokomish,,
260,Skokomish Y Cemetery,Shelton,,
261,Ephrata Cemetery,Ephrata,,
262,Cosmopolis Cemetery,Cosmopolis,,
263,Roslyn Cemetery,Roslyn,,
264,Scott'S Valley Cemetery,Tum Tum,,
265,Pleasant View Cemetery,Ford,,
266,Evergreen Cemetery,Everett,,
267,Clevinger Stiltner Cemetery,Morton,,
268,Pine City Cemetery,Pine City,,
269,Ground Mound Cemetery,Rochester,,
269,Grand Mound Cemetery,Grand Mound,,
269,Grand Mound Cemetery,Rochester,,
270,St. Joseph'S Cemetery,Spokane Valley,,
270,St Joseph'S Cemetery,Spokane Valley,,
271,Salkum Cemetery,Salkum,,
272,Leschi Cemetery,Nisqually,,
273,Meridian Cemetery,Kent,,
274,St. Andrews Cemetery,Ellensburg,,
275,Mountain View Cemetery,Connell,,
276,Hall Creek Cemetery,Inchelium,,
277,Morton City Cemetery,Morton,,
277,Morton Cemetery,Morton,,
278,Elk Cemetery #1,Elk,,
279,St. Mary'S Mission Cemetery,Omak,,
279,Saint Mary'S Mission,Omak,,
280,Asotin City Cemetery,Asotin,,
281,Waitsburg Cemetery,Waitsburg,,
282,Omak Memorial Cemetery,Okanogan,,
283,Kartar Cemetery,Omak,,
284,Priest Rapids Cemetery,Priest Rapids,,
285,Hubert Jr Cemetery,Ford,,
285,Hubert Cemetery,Ford,,
286,Fraternal Cemetery,Chelan,,
287,Longview Memorial Park,Longview,,
288,Ruddell Pioneer Cemetery,Lacey,,
288,Pioneer Cemetery,Lacey,,
289,Sacred Heart Cemetery,Wellpinit,,
289,Sacred Heart Catholic Cemetery,Wellpinit,,
290,Sifton Cemetery,Vancouver,,
291,Wilkeson Town Cemetery,Wilkeson,,
292,Union Cemetery,Spokane,,
293,Pullman City Cemetery,Pullman,,
294,Woodland Cemetery,Deer Park,,
295,Napavine Cemetery,Napavine,,
296,Rainey Valley Cemetery,Glenoma,,
297,Fir Lawn Cemetery,Toledo,,
298,Cedonia Community Cemetery,Cedonia,,
298,Cedonia Cemetery,Cedonia,,
299,Mansfield Cemetery,Mansfield,,
300,Springdale Cemetery,Springdale,,
301,Wellpinit Presbyterian Cemetery,Wellpinit,,
301,Presbyterian Cemetery,Wellpinit,,
302,Odessa Cemetery,Odessa,,
303,Ritzville Memorial Cemetery,Ritzville,,
304,Pateros Cemetery,Pateros,,
305,Fort Lewis Cemetery,Fort Lewis,,
306,Spring Creek Cemetery,Reardan,,
307,Egypt Cemetery,Davenport,,
308,Breidablik Cemetery,Breidablik,,
309,Carnation Cemetery,Carnation,,
310,Spokane Hutterite Cemetery,Reardan,,
311,Tonasket Cemetery,Tonasket,,
312,Greenwood Cemetery,Cathlamet,,
313,St. Mary'S Cemetery,Chewelah,,
314,Waverly Cemetery,Waverly,,
