code,label,city,state,notes,review_flag
810,Hill Funeral Home,Puyallup,WA,,FALSE
811,Hoffner Fisher & Harvey,Seattle,WA,,FALSE
812,Howden-Kennedy Funeral Home of West Seattle,Seattle,WA,,FALSE
813,Hubbard Funeral Home,Castle Rock,WA,,FALSE
814,Hubbard Rogg Chapel Inc,Dayton,WA,,FALSE
815,Hulbush Funeral Home and Cremation Services,Burlington,WA,,FALSE
816,Hawthorne Funeral Home,Mount Vernon,WA,,FALSE
817,Heritage Funeral Home,Spokane,WA,,FALSE
819,Scott Funeral Home,Tacoma,WA,,FALSE
821,Hillcrest Funerals and Cremation ,Kennewick,WA,,FALSE
822,Hennessey Valley Funeral Home & Crematory,Spokane Valley,WA,,FALSE
824,Harrison Family Mortuary,Aberdeen,WA,,FALSE
825,Heritage Memorial Chapel,East Wenatchee,WA,,FALSE
830,Hilton Funeral Serivces,Vancouver ,WA,,FALSE
831,Hamon Funeral Service,Shoreline ,WA,,FALSE
832,Barton Family Funeral Services Seattle,Seattle,WA,,FALSE
901,Island Funeral Service,Vashon ,WA,,FALSE
989,Return Home,Auburn ,WA,,FALSE
1001,Jerns Funeral Chapel,Bellingham,WA,,FALSE
1005,Jones & Jones ~ Betts Funeral Home,Wenatchee,WA,,FALSE
1101,Kayser's Chapel of Memories,Moses Lake,WA,,FALSE
1102,Keith & Keith Funeral Home,Yakima,WA,,FALSE
1103,Kern Funeral Home,Mount Vernon,WA,,FALSE
1104,Kimball Funeral Home,Pullman,WA,,FALSE
1106,Kosec Funeral Home and Crematory Inc,Port Townsend,WA,,FALSE
1107,Kramer Funeral Home,Palouse,WA,,FALSE
1109,Kramer Funeral Home,Tekoa,WA,,FALSE
1110,Kitsap Cremation & Burial Society,Port Orchard,WA,,FALSE
1112,Klontz Funeral Home,Auburn,WA,,FALSE
1201,Langevin El Paraiso Funeral Home,Yakima,WA,,FALSE
1202,Lauer Funeral Home,Deer Park,WA,,FALSE
1203,Layne's Funeral Home Inc,Battle Ground,WA,,FALSE
1204,Lemley Chapel,Sedro Woolley,WA,,FALSE
1205,Lewis Funeral Chapel ,Bremerton,WA,,FALSE
1209,Moles Farewell Tributes - Lynden,Lynden,WA,,FALSE
1211,Linde-Price Funeral Service,Sequim,WA,,FALSE
1212,Life Tributes Cremation Center,Kennewick,WA,,FALSE
1213,Legacy Memorial Funeral Home,Omak,WA,,FALSE
1218,Lake Washington Institute of Technology,Kirkland,WA,,FALSE
1301,Marlatt Funeral Home ,Kent,WA,,FALSE
1302,McComb & Wagner Funeral Home and Crematory,Shelton,WA,,FALSE
1305,Evergreen Memorial Gardens Funeral Chapel,Vancouver,WA,,FALSE
1306,Merchant Richardson Brown Funeral Homes LLC,Clarkston,WA,,FALSE
1307,Valley Hills Funeral Home of Wapato,Wapato,WA,,FALSE
1309,Miller-Woodlawn Funeral Home,Bremerton,WA,,FALSE
1310,Mills and Mills Funeral Home,Tumwater,WA,,FALSE
1311,Moles Farewell Tributes - Ferndale ,Ferndale,WA,,FALSE
1313,Brown Mortuary Service,Morton,WA,,FALSE
1315,Mountain View Funeral Chapel Inc,Walla Walla,WA,,FALSE
1316,Mountain View Funeral Home,Lakewood,WA,,FALSE
1318,Mueller's Tri-Cities Funeral Home,Kennewick,WA,,FALSE
1319,Stevens Funeral Chapel,Othello,WA,,FALSE
1331,Mt Baker Cremation Society,Bellingham,WA,,FALSE
1334,Moles Farewell Tributes - Bellingham,Bellingham,WA,,FALSE
1335,M B Daniel Mortuary Services LLC,Renton,WA,,FALSE
1402,New Tacoma Cemeteries & Funeral Home,University Place,WA,,FALSE
1403,Newell-Hoerling's Mortuary,Centralia,WA,,FALSE
1404,Nicoles Funeral Home,Ephrata,WA,,FALSE
1405,Neptune Society - Spokane,Spokane,WA,,FALSE
1406,Neptune Society - Lynnwood,Lynnwood,WA,,FALSE
1408,Northwood Park Funeral Home,Ridgefield,WA,,FALSE
1411,Neptune Society - Pierce,Tacoma,WA,,FALSE
1412,NW Best,Renton,WA,,FALSE
1501,Oakwood Hill Funeral Chapel & Cemetery,Tacoma,WA,,FALSE
1504,Olympic Cremation Association,Port Angeles,WA,,FALSE
1505,Personal Alternative Funeral Services,Kent,WA,,FALSE
